ID теста;Модуль;Название теста;Шаги;Ожидаемый результат;Покрытие (Да/Нет);Причина непокрытия
1;Авторизация (позитивная);Успешный вход в систему;1. Открыть приложение; 2. Ввести правильные логин и пароль; 3. Нажать "sign in";Пользователь успешно авторизован;Да;
2;Авторизация (негативная);Неверные данные авторизации;1. Ввести неправильные данные логина; 2. Нажать "sign in";Ошибка авторизации;Да;
3;Главная страница (main);Отображение главной страницы;1. Открыть приложение; 2. Проверить отображение главной страницы;Главная страница отображается корректно;Да;
4;Информация о приложении (about);Отображение информации о приложении;1. Открыть экран информации о приложении;Информация отображается корректно;Да;
5;Цитаты;Показ случайной цитаты;1. Открыть раздел цитат; 2. Проверить отображение случайной цитаты;Отображается случайная цитата;Да;
6;Цитаты;Переключение цитат;1. Нажать кнопку для смены цитаты;Цитата сменяется корректно;Да;
7;Новости (news);Отображение новостей;1. Открыть раздел новостей; 2. Проверить отображение новостей;Новости отображаются корректно;Да;
8;Новости (news);Фильтрация новостей;1. Применить фильтр к новостям; 2. Проверить отфильтрованные результаты;Новости фильтруются по критериям;Да;
